RiskPerformance;ExternalRiskEstimate;MSinceOldestTradeOpen;MSinceMostRecentTradeOpen;AverageMInFile;NumSatisfactoryTrades;NumTrades60Ever2DerogPubRec;NumTrades90Ever2DerogPubRec;PercentTradesNeverDelq;NumTotalTrades;NumTradesOpeninLast12M;PercentInstallTrades;MSinceMostRecentInqexcl7days;NumInqLast6M;NumInqLast6Mexcl7days;NetFractionRevolvingBurden;NetFractionInstallBurden;NumRevolvingTradesWBalance;NumInstallTradesWBalance;NumBank2NatlTradesWHighUtilization;PercentTradesWBalance;MaxDelq2PublicRecLast12M_0;MaxDelq2PublicRecLast12M_1;MaxDelq2PublicRecLast12M_2;MaxDelq2PublicRecLast12M_3;MaxDelq2PublicRecLast12M_4;MaxDelq2PublicRecLast12M_5;MaxDelq2PublicRecLast12M_6;MaxDelq2PublicRecLast12M_7;MaxDelq2PublicRecLast12M_9;MaxDelq2PublicRecLast12M_nan;MaxDelqEver_2;MaxDelqEver_3;MaxDelqEver_4;MaxDelqEver_5;MaxDelqEver_6;MaxDelqEver_7;MaxDelqEver_8;MaxDelqEver_nan
0;55;144;4;84;20;3;0;83;23;1;43;0;0;0;33;64.5417;8;1;1;69;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0;61;58;15;41;2;4;4;100;7;0;67;0;0;0;0;64.44229;0;1;-1;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
0;67;66;5;24;9;0;0;100;9;4;44;0;4;4;53;66.0;4;2;1;86;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
0;66;169;1;73;28;1;1;93;30;3;57;0;5;4;72;83.0;6;4;3;91;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
0;81;333;27;132;12;0;0;100;12;0;25;0;1;1;51;89.0;3;1;0;80;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
0;59;137;11;78;31;0;0;91;32;1;47;0;0;0;62;93.0;12;4;3;94;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
1;54;88;7;37;25;0;0;92;26;3;58;0;4;4;89;76.0;7;7;2;100;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
1;68;148;7;65;17;0;0;83;18;1;44;0;0;0;28;48.0;2;2;2;40;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
0;59;324;2;138;24;0;0;85;27;1;26;0;1;1;68;63.776905;7;1;3;90;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
0;61;79;4;36;19;0;0;95;19;3;26;0;6;6;31;86.0;5;3;1;62;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
1;82;96;5;47;16;0;0;100;16;3;31;0;0;0;15;88.0;4;2;0;67;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
0;50;311;25;76;12;1;0;60;15;0;20;0;1;1;84;64.0;5;2;2;88;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0;74;274;2;66;23;0;0;100;28;4;39;0;2;2;18;65.0;3;5;1;67;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
1;69;256;6;117;11;1;1;100;14;1;8;0;0;0;13;59.208393;2;1;0;67;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
0;63;262;26;95;3;2;2;75;6;0;100;0;0;0;63;71.63532;3;1;1;100;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
0;63;184;3;77;34;0;0;97;36;2;36;0;11;10;71;80.0;10;2;3;82;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
0;61;256;19;68;14;0;0;87;15;0;33;0;2;1;62;68.0;3;3;1;86;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
0;62;131;4;59;16;4;2;79;20;4;58;0;4;4;25;91.0;3;4;1;70;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
0;89;244;9;147;10;0;0;100;10;1;10;0;0;0;3;58.844738;2;0;0;50;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
0;65;43;2;26;15;1;1;100;17;2;25;0;4;4;31;83.0;5;1;0;75;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
0;57;147;4;73;27;1;1;97;31;2;48;0;4;4;44;87.0;3;2;3;56;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
0;72;365;11;83;22;0;0;100;22;1;41;0;0;0;49;23.0;6;2;1;73;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
1;72;84;4;53;29;0;0;100;30;2;27;0;1;1;43;48.0;9;5;3;64;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
0;65;88;9;45;20;0;0;85;20;1;20;0;0;0;14;71.0;4;2;1;50;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
0;64;91;4;55;19;1;1;90;20;2;50;0;2;2;24;81.0;6;3;1;82;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
0;58;265;3;79;25;2;1;93;28;2;48;0;1;1;63;50.0;8;2;0;91;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0;58;150;16;72;18;2;0;55;22;0;45;0;1;1;79;38.0;7;3;0;91;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
0;79;162;7;94;17;0;0;100;17;1;29;0;0;0;28;62.83726;3;1;1;57;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
0;66;284;32;107;15;2;2;82;17;0;53;0;1;1;19;50.0;3;2;1;63;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
0;69;445;8;157;38;4;4;100;39;1;36;0;4;4;50;54.0;14;2;4;89;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
1;71;179;3;62;15;3;2;83;18;4;33;0;5;5;5;9.0;1;1;0;22;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
0;54;114;12;49;9;3;3;64;12;0;27;0;0;0;62;14.0;6;2;1;100;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
0;68;133;7;44;39;2;2;100;39;4;67;0;2;2;15;73.0;5;2;0;50;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
1;75;164;4;66;19;0;0;100;19;2;21;0;0;0;53;92.0;5;1;1;55;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
0;67;118;6;37;23;2;2;88;26;5;42;0;0;0;31;70.0;5;3;1;67;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
1;88;153;33;92;13;0;0;100;14;0;7;0;0;0;1;54.83817;1;0;0;25;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
0;51;186;13;96;22;3;1;84;25;0;56;0;4;3;79;50.0;5;3;3;100;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
0;70;127;25;57;23;0;0;96;24;0;13;0;0;0;51;57.937714;9;1;1;67;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
0;65;116;10;37;14;1;1;93;15;1;13;0;2;2;52;61.489555;3;1;2;56;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
0;78;21;4;13;11;0;0;100;11;5;64;0;3;3;7;81.22026;3;3;0;75;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
1;86;318;18;90;13;0;0;100;13;0;62;0;0;0;0;44.0;0;2;-1;50;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
1;90;230;13;73;11;0;0;100;13;0;62;0;0;0;1;71.0;1;4;0;71;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
0;76;293;4;74;33;0;0;100;34;1;38;0;2;2;37;65.50365;13;1;0;88;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
0;70;37;4;20;19;0;0;100;20;2;20;0;3;3;42;73.0;2;2;1;50;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
0;73;255;16;100;40;0;0;100;44;0;23;0;1;1;79;61.162956;18;1;13;80;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
0;72;209;2;95;41;0;0;100;42;3;38;0;1;1;42;71.65223;7;2;2;82;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
1;83;398;3;118;29;0;0;100;29;2;31;0;3;3;22;87.0;6;3;0;69;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
1;87;326;7;111;26;0;0;100;30;1;40;0;0;0;12;89.0;3;2;0;56;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
0;55;114;6;59;19;0;0;89;19;1;53;0;1;1;97;90.0;8;2;6;100;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
0;65;445;12;97;44;0;0;89;47;0;32;0;9;9;63;63.36818;9;4;6;60;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
0;78;197;23;91;15;0;0;100;17;0;41;0;5;5;57;32.0;2;2;1;67;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
1;79;243;17;77;35;0;0;97;39;0;36;0;2;2;20;60.871685;4;1;0;56;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
0;75;183;18;92;21;0;0;100;22;0;27;0;0;0;88;91.0;9;3;5;93;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
0;70;176;8;96;20;0;0;95;20;1;30;0;0;0;74;71.0;8;4;3;86;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
0;78;368;6;74;42;0;0;98;43;3;49;0;3;3;10;19.0;8;2;0;67;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
0;75;300;14;124;22;0;0;100;23;0;39;0;0;0;57;62.848415;4;1;1;100;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
0;76;150;11;54;14;0;0;100;15;1;40;0;0;0;32;96.0;4;2;0;75;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
0;72;168;8;62;10;0;0;100;11;1;18;0;5;5;60;82.0;7;1;0;100;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
0;55;118;4;69;12;7;4;50;22;2;27;0;2;2;79;79.0;5;2;2;88;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
0;74;277;30;123;24;0;0;88;24;0;25;0;0;0;45;59.534508;12;1;2;93;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
0;63;174;1;62;11;1;0;79;14;1;29;0;5;5;37;101.0;5;2;2;70;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
0;81;137;9;66;34;0;0;100;34;1;62;0;1;1;24;92.0;3;4;0;78;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
1;81;126;9;78;18;0;0;100;18;1;83;0;0;0;0;64.0;1;3;-1;80;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
0;59;243;11;79;38;1;1;76;43;1;50;0;1;1;63;78.0;7;4;4;86;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
0;66;176;11;81;43;0;0;98;44;1;39;0;2;2;36;64.0;3;4;1;47;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
0;72;169;5;60;21;1;1;96;23;1;52;0;4;4;66;82.0;4;3;1;78;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
1;73;409;7;94;38;0;0;100;39;2;18;0;1;1;27;69.0;11;2;2;72;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
0;86;419;10;122;17;0;0;100;18;1;72;0;0;0;0;36.0;0;2;-1;50;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
0;91;282;77;203;6;0;0;100;7;0;43;0;0;0;0;60.25628;0;1;0;8;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
1;73;324;15;89;19;0;0;89;19;0;21;0;0;0;34;36.0;6;3;1;64;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
1;78;134;2;63;35;0;0;93;40;3;40;0;0;0;22;55.0;5;4;0;60;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
0;65;155;8;37;20;1;1;95;21;1;38;0;2;2;49;87.0;5;5;1;67;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
0;75;70;1;38;8;0;0;100;9;1;78;0;4;3;17;71.749374;2;1;0;100;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
1;84;277;8;109;8;0;0;100;8;1;50;0;0;0;33;66.85241;2;1;0;100;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
1;75;294;12;94;39;0;0;98;40;0;35;0;2;2;17;60.714405;6;5;0;61;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
1;60;357;17;141;9;4;3;67;13;0;50;0;1;1;28;62.4832;4;2;1;100;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
1;68;106;3;54;29;1;1;87;31;2;65;0;1;1;85;73.0;3;5;2;100;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
0;67;85;7;44;15;1;1;93;16;2;33;0;0;0;59;62.0;3;2;2;83;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
0;71;282;1;73;22;0;0;96;25;5;4;0;2;2;37;39.0;11;1;1;80;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
0;50;204;2;91;23;2;0;82;28;2;32;0;6;6;32;67.47426;5;3;0;67;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
0;62;151;19;99;5;1;1;80;6;0;80;0;0;0;40;75.0;1;2;0;100;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
0;70;333;2;75;16;0;0;100;20;8;30;0;0;0;78;92.0;6;2;4;67;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
